algorithm,battery_capacity_seconds,completed_job_ratio,coverage_ratio,cpu_cycles_per_second,energy_per_cpu_cycle,horizon_sec,parameter_key,parameter_label,parameter_value,satellite_solar_panel_power_watts,slot_len,slots,task_average_deadline,task_average_execution,task_average_period,time_slot_length,wall_clock_sec
edf,0.5,0.0,0.4350514868563425,1000000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,1000000000.0,14,60,60,30,50,220,60,0.0076424590000030435
random,0.5,0.0,0.33108326609949035,1000000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,1000000000.0,14,60,60,30,50,220,60,0.00914308300000144
maxflow_preflow_push,0.5,0.498015873015873,0.5660737501527507,2000000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,2000000000.0,14,60,60,30,50,220,60,0.6166745830000018
energy_first,0.5,0.42757936507936506,0.5062373475809233,2000000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,2000000000.0,14,60,60,30,50,220,60,0.00939062499999821
edf,0.5,0.2926587301587302,0.4183185759104381,2000000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,2000000000.0,14,60,60,30,50,220,60,0.0073857080000010455
random,0.5,0.3253968253968254,0.40704799972659866,2000000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,2000000000.0,14,60,60,30,50,220,60,0.008826165999998636
maxflow_preflow_push,0.5,0.5238095238095238,0.5676887904751909,5000000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,5000000000.0,14,60,60,30,50,220,60,0.5152122920000011
energy_first,0.5,0.42757936507936506,0.509391723210679,5000000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,5000000000.0,14,60,60,30,50,220,60,0.00941429199999888
edf,0.5,0.29464285714285715,0.4186224474813375,5000000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,5000000000.0,14,60,60,30,50,220,60,0.007289207999999547
random,0.5,0.32837301587301587,0.41051781312694496,5000000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,5000000000.0,14,60,60,30,50,220,60,0.008652749999999543
maxflow_preflow_push,0.5,0.5317460317460317,0.5703626490835483,10000000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,10000000000.0,14,60,60,30,50,220,60,0.530618791000002
energy_first,0.5,0.42757936507936506,0.5146490159269438,10000000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,10000000000.0,14,60,60,30,50,220,60,0.0094224159999996
edf,0.5,0.29464285714285715,0.42017860612535185,10000000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,10000000000.0,14,60,60,30,50,220,60,0.0071002499999970325
random,0.5,0.32837301587301587,0.414807763983417,10000000000.0,1e-08,3600,cpu_cycles_per_second,CPU cycles per second,10000000000.0,14,60,60,30,50,220,60,0.008804582999999866
maxflow_preflow_push,0.5,0.5793650793650794,0.6048410427326838,10000000000.0,5e-09,3600,energy_per_cpu_cycle,Energy per CPU cycle,5e-09,14,60,60,30,50,220,60,0.3087859580000014
energy_first,0.5,0.5793650793650794,0.6048410427326719,10000000000.0,5e-09,3600,energy_per_cpu_cycle,Energy per CPU cycle,5e-09,14,60,60,30,50,220,60,0.009255082999999331
edf,0.5,0.40575396825396826,0.5572814424990197,10000000000.0,5e-09,3600,energy_per_cpu_cycle,Energy per CPU cycle,5e-09,14,60,60,30,50,220,60,0.007058915999998305
random,0.5,0.49404761904761907,0.569638199493331,10000000000.0,5e-09,3600,energy_per_cpu_cycle,Energy per CPU cycle,5e-09,14,60,60,30,50,220,60,0.008626457999998394
maxflow_preflow_push,0.5,0.5793650793650794,0.604841042732681,10000000000.0,6e-09,3600,energy_per_cpu_cycle,Energy per CPU cycle,6e-09,14,60,60,30,50,220,60,0.3250458750000007
energy_first,0.5,0.5793650793650794,0.6048410427326719,10000000000.0,6e-09,3600,energy_per_cpu_cycle,Energy per CPU cycle,6e-09,14,60,60,30,50,220,60,0.009350708999999569
edf,0.5,0.40476190476190477,0.4748597100028939,10000000000.0,6e-09,3600,energy_per_cpu_cycle,Energy per CPU cycle,6e-09,14,60,60,30,50,220,60,0.007156000000001939
random,0.5,0.49404761904761907,0.5390197267138058,10000000000.0,6e-09,3600,energy_per_cpu_cycle,Energy per CPU cycle,6e-09,14,60,60,30,50,220,60,0.008737540999998572
maxflow_preflow_push,0.5,0.5783730158730159,0.6047358958402792,10000000000.0,7e-09,3600,energy_per_cpu_cycle,Energy per CPU cycle,7e-09,14,60,60,30,50,220,60,0.3490629589999976
energy_first,0.5,0.5505952380952381,0.6040103851893097,10000000000.0,7e-09,3600,energy_per_cpu_cycle,Energy per CPU cycle,7e-09,14,60,60,30,50,220,60,0.009341750000000815
edf,0.5,0.32837301587301587,0.5718620166130998,10000000000.0,7e-09,3600,energy_per_cpu_cycle,Energy per CPU cycle,7e-09,14,60,60,30,50,220,60,0.05973474999999695
random,0.5,0.43154761904761907,0.5145733088356748,10000000000.0,7e-09,3600,energy_per_cpu_cycle,Energy per CPU cycle,7e-09,14,60,60,30,50,220,60,0.008857792000000586
maxflow_preflow_push,0.5,0.5734126984126984,0.6011083633470173,10000000000.0,8e-09,3600,energy_per_cpu_cycle,Energy per CPU cycle,8e-09,14,60,60,30,50,220,60,0.3497503749999993
energy_first,0.5,0.42757936507936506,0.5687023967184911,10000000000.0,8e-09,3600,energy_per_cpu_cycle,Energy per CPU cycle,8e-09,14,60,60,30,50,220,60,0.009286499999998199
edf,0.5,0.29563492063492064,0.5202196292750585,10000000000.0,8e-09,3600,energy_per_cpu_cycle,Energy per CPU cycle,8e-09,14,60,60,30,50,220,60,0.007097915999999316
random,0.5,0.32936507936507936,0.47381877196211425,10000000000.0,8e-09,3600,energy_per_cpu_cycle,Energy per CPU cycle,8e-09,14,60,60,30,50,220,60,0.00860358400000294
maxflow_preflow_push,0.5,0.5575396825396826,0.5886170296247119,10000000000.0,9e-09,3600,energy_per_cpu_cycle,Energy per CPU cycle,9e-09,14,60,60,30,50,220,60,0.485911208000001
energy_first,0.5,0.42757936507936506,0.5386727407231882,10000000000.0,9e-09,3600,energy_per_cpu_cycle,Energy per CPU cycle,9e-09,14,60,60,30,50,220,60,0.009489209000001608
edf,0.5,0.29563492063492064,0.46369321798978086,10000000000.0,9e-09,3600,energy_per_cpu_cycle,Energy per CPU cycle,9e-09,14,60,60,30,50,220,60,0.007220459000002677
random,0.5,0.32936507936507936,0.441186755916548,10000000000.0,9e-09,3600,energy_per_cpu_cycle,Energy per CPU cycle,9e-09,14,60,60,30,50,220,60,0.009278041999998266
maxflow_preflow_push,0.5,0.5317460317460317,0.5703626490835483,10000000000.0,1e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,1e-08,14,60,60,30,50,220,60,0.5183899589999967
energy_first,0.5,0.42757936507936506,0.5146490159269438,10000000000.0,1e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,1e-08,14,60,60,30,50,220,60,0.009281708999999694
edf,0.5,0.29464285714285715,0.42017860612535185,10000000000.0,1e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,1e-08,14,60,60,30,50,220,60,0.007138916999998912
random,0.5,0.32837301587301587,0.414807763983417,10000000000.0,1e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,1e-08,14,60,60,30,50,220,60,0.008826707999993744
maxflow_preflow_push,0.5,0.49206349206349204,0.5430922084695916,10000000000.0,1.1e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,1.1e-08,14,60,60,30,50,220,60,0.5614709999999974
energy_first,0.5,0.42757936507936506,0.4949932410936517,10000000000.0,1.1e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,1.1e-08,14,60,60,30,50,220,60,0.009241042000006416
edf,0.5,0.29464285714285715,0.38292256232369,10000000000.0,1.1e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,1.1e-08,14,60,60,30,50,220,60,0.007095040999999469
random,0.5,0.32837301587301587,0.3932249524017644,10000000000.0,1.1e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,1.1e-08,14,60,60,30,50,220,60,0.008543541999998183
maxflow_preflow_push,0.5,0.45535714285714285,0.508848109749226,10000000000.0,1.2e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,1.2e-08,14,60,60,30,50,220,60,0.6431899580000007
energy_first,0.5,0.42757936507936506,0.4786134287325787,10000000000.0,1.2e-08,3600,energy_per_cpu_cycle,Energy per CPU cycle,1.2e-08,14,60,60,30,50,220,60,0.01083737500000126
