Nc,Ns,Nt,algorithm,battery_capacity_seconds,coverage_ratio,cpu_cycles_per_second,energy_per_cpu_cycle,expected_feasible,feasible,horizon_sec,max_flow_value,num_edges,num_jobs,num_nodes,satellite_solar_panel_power_watts,tag,task_average_deadline,task_average_execution,task_average_period,time_slot_length,total_demand
6,48,1440,energy_first,7200,0.8066114337353312,10000000000.0,1e-09,,False,86400,289935.3071199558,,7555,,30,P_solar=30,300,50,300,60,359448.54609523254
6,48,1440,random,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,30,P_solar=30,300,50,300,60,359448.54609524313
6,48,1440,edf,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,30,P_solar=30,300,50,300,60,359448.54609524313
6,48,1440,maxflow,7200,0.8445014379828935,10000000000.0,1e-09,,False,86400,303554.81405830785,2150486,7555,145803,40.0,exec=50,300,50,300,60,359448.5460952605
6,48,1440,energy_first,7200,0.8077191425063909,10000000000.0,1e-09,,False,86400,290333.47142721014,,7555,,40.0,exec=50,300,50,300,60,359448.54609523254
6,48,1440,random,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,exec=50,300,50,300,60,359448.54609524313
6,48,1440,edf,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,exec=50,300,50,300,60,359448.54609524313
6,48,1440,maxflow,7200,0.8445014379828935,10000000000.0,1e-09,,False,86400,303554.81405830785,2150486,7555,145803,40.0,slot=60,300,50,300,60,359448.5460952605
6,48,1440,energy_first,7200,0.8077191425063909,10000000000.0,1e-09,,False,86400,290333.47142721014,,7555,,40.0,slot=60,300,50,300,60,359448.54609523254
6,48,1440,random,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,slot=60,300,50,300,60,359448.54609524313
6,48,1440,edf,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,slot=60,300,50,300,60,359448.54609524313
6,48,1440,maxflow,7200,0.8436852770300345,10000000000.0,1e-09,,False,86400,424566.0246665673,2150486,7555,145803,40.0,exec=70,300,70,300,60,503227.9645333352
6,48,1440,energy_first,7200,0.8062954303173208,10000000000.0,1e-09,,False,86400,405750.40821115306,,7555,,40.0,exec=70,300,70,300,60,503227.9645333825
6,48,1440,random,7200,0.11626815208042066,10000000000.0,1e-09,,False,86400,58509.38551148629,,7555,,40.0,exec=70,300,70,300,60,503227.9645333691
6,48,1440,edf,7200,0.11626815208042066,10000000000.0,1e-09,,False,86400,58509.38551148629,,7555,,40.0,exec=70,300,70,300,60,503227.9645333691
6,48,1440,maxflow,7200,0.8445014379828927,10000000000.0,1e-09,,False,86400,303554.81405830756,2150486,7555,145803,25,P_solar=25,300,50,300,60,359448.5460952605
6,48,1440,energy_first,7200,0.8059437442910223,10000000000.0,1e-09,,False,86400,289695.30711995583,,7555,,25,P_solar=25,300,50,300,60,359448.54609523254
6,48,1440,random,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,25,P_solar=25,300,50,300,60,359448.54609524313
6,48,1440,edf,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,25,P_solar=25,300,50,300,60,359448.54609524313
6,48,1440,maxflow,7200,0.8445014379828923,10000000000.0,1e-09,,False,86400,303554.81405830744,2150486,7555,145803,35,P_solar=35,300,50,300,60,359448.5460952605
6,48,1440,energy_first,7200,0.8072791231796397,10000000000.0,1e-09,,False,86400,290175.3071199556,,7555,,35,P_solar=35,300,50,300,60,359448.54609523254
6,48,1440,random,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,35,P_solar=35,300,50,300,60,359448.54609524313
6,48,1440,edf,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,35,P_solar=35,300,50,300,60,359448.54609524313
